event_name,date_location,attendees,goals,source_url,primary_industry,secondary_industry,event_type,featured,company_stages
"International Conference on E-Education, E-Business, E-Management and E-Learning (IC4E)","30 Oct - Cebu, Philippines","Government officials, Policy makers, Public administrators","Policy influence, Governance improvement, Public service enhancement",https://www.conferencealert.com/eventdetail/1330472,Government & Public Sector,,Conference,False,Exploring Solutions
"International Conference on Multilingual Education, Learning and Teaching (ICMELT)","31 Oct - Cebu, Philippines","Educators, Academic professionals, Training managers","Educational advancement, Teaching methodologies, Learning innovation",https://www.conferencealert.com/eventdetail/1514283,Education,,Conference,False,Exploring Solutions
International Conference on Animal Biotechnology and Veterinary Medicine (ICABVM),"01 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1518637,Technology,,Conference,False,Planning Transformation
International Conference on Smart Living and Public Health (ICSLPH),"16 Nov - Cebu, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1528650,Healthcare,,Conference,False,Planning Transformation
"International Conference on Soil, Plant and Water Science (ICSPWS)","19 Nov - Cebu, Philippines","Utility professionals, Energy managers, Infrastructure executives","Energy efficiency, Infrastructure development, Sustainability",https://www.conferencealert.com/eventdetail/1528695,Utilities,,Conference,False,Exploring Solutions
International Conference on Islamic Studies in The Digital Era (ICISDE),"19 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1528698,Technology,,Conference,False,Planning Transformation
International Conference on Nursing Care and Patient Safety (ICNCPS),"20 Nov - Cebu, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1514818,Healthcare,,Conference,False,Planning Transformation
International Conference on Maritime Technology and Engineering (ICMTE),"20 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1528753,Technology,,Conference,False,Planning Transformation
International Conference on Smart Living and Public Health (ICSLPH),"21 Nov - Cebu, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1528777,Healthcare,,Conference,False,Planning Transformation
International Research Conference on Covid-19 and Its Impact on Mental Health (IRCCIMH),"25 Nov - Cebu, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1334209,Healthcare,,Conference,False,Planning Transformation
"Research International Conference on Medical, Medicine and Health Science (RICMMHS)","25 Nov - Cebu, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1334211,Healthcare,,Conference,False,Planning Transformation
"International Research Conference on Science Technology, Engineering and Management (IRCSTEM)","25 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1334212,Technology,,Conference,False,Planning Transformation
International Conference on Cyber Security and Cloud Computing (ICCSCC),"25 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1334214,Technology,,Conference,False,Planning Transformation
"International Conference on Machine Learning, Computer Software and Applications (ICMLCSA)","25 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1334215,Technology,,Conference,False,Planning Transformation
International Conference on Structural Engineering and Construction Management (ICSECM),"25 Nov - Cebu, Philippines","Government officials, Policy makers, Public administrators","Policy influence, Governance improvement, Public service enhancement",https://www.conferencealert.com/eventdetail/1334216,Government & Public Sector,,Conference,False,Exploring Solutions
International Conference on Multiculturalism and Education (ICME),"25 Nov - Cebu, Philippines","Educators, Academic professionals, Training managers","Educational advancement, Teaching methodologies, Learning innovation",https://www.conferencealert.com/eventdetail/1334217,Education,,Conference,False,Exploring Solutions
International Conference on Artificial Intelligence and Applications (ICAIA),"25 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1334218,Technology,,Conference,False,Planning Transformation
International Conference on International Business and Strategic Management (ICIBSM),"25 Nov - Cebu, Philippines","Government officials, Policy makers, Public administrators","Policy influence, Governance improvement, Public service enhancement",https://www.conferencealert.com/eventdetail/1334219,Government & Public Sector,,Conference,False,Exploring Solutions
International Conference on Justice and Legal Studies (ICJLS),"25 Nov - Cebu, Philippines","Government officials, Policy makers, Public administrators","Policy influence, Governance improvement, Public service enhancement",https://www.conferencealert.com/eventdetail/1334220,Government & Public Sector,,Conference,False,Exploring Solutions
International Conference on Family Medicine and Disease Prevention (ICFMDP),"25 Nov - Cebu, Philippines","Healthcare professionals, Medical practitioners, Researchers","Medical advancement, Patient care improvement, Research collaboration",https://www.conferencealert.com/eventdetail/1334221,Healthcare,,Conference,False,Planning Transformation
"International Conference on Artificial Intelligence, Robots and Mechanical Engineering (ICAIRME)","30 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1330954,Technology,,Conference,False,Planning Transformation
"International Conference on Control system, power and electrical engineering (ICCSPEE)","30 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1330955,Technology,,Conference,False,Planning Transformation
"International Conference on Environment, Agriculture and Biotechnology (ICEABT)","30 Nov - Cebu, Philippines","Tech professionals, IT managers, Developers, Data scientists","Knowledge sharing, Networking, Innovation, Skill development",https://www.conferencealert.com/eventdetail/1330956,Technology,,Conference,False,Planning Transformation
